cell_id,sleep_rate,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_window,num_steps,check_sleep_interval,sleep_decay_rate,elapsed_s,returncode
144,0.7,mnist,46,0.13043478260869565,0.11618257261410789,0.11049723756906077,,2450,100,3500,0.9999939429419015,584.285195,0
145,0.7,fmnist,42,0.5029585798816568,0.5788005578800558,0.45,,2450,100,3500,0.9999939429419015,799.389107,0
146,0.7,fmnist,43,0.09142857142857143,0.12104539202200826,0.09340659340659341,,2450,100,3500,0.9999939429419015,435.219406,0
147,0.7,fmnist,44,0.4666666666666667,0.526896551724138,0.42857142857142855,,2450,100,3500,0.9999939429419015,878.451184,0
148,0.7,fmnist,45,0.4076086956521739,0.5208333333333334,0.4696132596685083,,2450,100,3500,0.9999939429419015,413.899901,0
149,0.7,fmnist,46,0.0670391061452514,0.13121546961325967,0.12087912087912088,,2450,100,3500,0.9999939429419015,868.503493,0
150,0.7,kmnist,42,0.3858695652173913,0.5150273224043715,0.33695652173913043,,2450,100,3500,0.9999939429419015,405.285587,0
151,0.7,kmnist,43,0.09090909090909091,0.10848400556328233,0.10555555555555556,,2450,100,3500,0.9999939429419015,446.139719,0
152,0.7,kmnist,44,0.489010989010989,0.5181058495821727,0.4111111111111111,,2450,100,3500,0.9999939429419015,788.677407,0
153,0.7,kmnist,45,0.3978494623655914,0.5275035260930888,0.48314606741573035,,2450,100,3500,0.9999939429419015,386.683803,0
154,0.7,kmnist,46,0.11475409836065574,0.12011173184357542,0.10555555555555556,,2450,100,3500,0.9999939429419015,738.528233,0
155,0.7,notmnist,42,0.5439560439560439,0.6304945054945055,0.5628415300546448,,2450,100,3500,0.9999939429419015,509.543968,0
156,0.7,notmnist,43,0.08152173913043478,0.12253521126760564,0.06741573033707865,,2450,100,3500,0.9999939429419015,488.948466,0
157,0.7,notmnist,44,0.1016949152542373,0.11448275862068966,0.07692307692307693,,2450,100,3500,0.9999939429419015,477.012925,0
158,0.7,notmnist,45,0.09714285714285714,0.11731843575418995,0.1,,2450,100,3500,0.9999939429419015,456.609201,0
