cell_id,code,dataset,seed,downscale,noise,stdp,suppress,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_rate,elapsed_s,returncode
29,0111,mnist,46,False,True,True,True,0.13043478260869565,0.11618257261410789,0.11049723756906077,,0.1,193.303866,0
30,1100,mnist,42,True,True,False,False,0.7942857142857143,0.9266943291839558,0.8066298342541437,,0.1,157.247845,0
31,1100,mnist,43,True,True,False,False,0.8152173913043478,0.9044943820224719,0.8033707865168539,,0.1,144.271129,0
32,1100,mnist,44,True,True,False,False,0.807909604519774,0.9141274238227147,0.8453038674033149,,0.1,148.814135,0
33,1100,mnist,45,True,True,False,False,0.7880434782608695,0.8927097661623109,0.7692307692307693,,0.1,142.475801,0
34,1100,mnist,46,True,True,False,False,0.8097826086956522,0.8948824343015215,0.7845303867403315,,0.1,168.785643,0
35,1010,mnist,42,True,False,True,False,0.7942857142857143,0.9239280774550485,0.7624309392265194,,0.1,234.272407,0
36,1010,mnist,43,True,False,True,False,0.7445652173913043,0.9030898876404494,0.7696629213483146,,0.1,212.198949,0
37,1010,mnist,44,True,False,True,False,0.7909604519774012,0.9127423822714681,0.7955801104972375,,0.1,192.948918,0
38,1010,mnist,45,True,False,True,False,0.7771739130434783,0.922971114167813,0.7802197802197802,,0.1,168.957873,0
39,1010,mnist,46,True,False,True,False,0.8043478260869565,0.8962655601659751,0.7624309392265194,,0.1,165.057189,0
40,1001,mnist,42,True,False,False,True,0.8057142857142857,0.9100968188105117,0.8066298342541437,,0.1,151.935031,0
41,1001,mnist,43,True,False,False,True,0.8097826086956522,0.901685393258427,0.8089887640449438,,0.1,168.575062,0
42,1001,mnist,44,True,False,False,True,0.8022598870056498,0.9182825484764543,0.8342541436464088,,0.1,285.567613,0
43,1001,mnist,45,True,False,False,True,0.7771739130434783,0.8858321870701513,0.7857142857142857,,0.1,182.794128,0
44,1001,mnist,46,True,False,False,True,0.7771739130434783,0.8824343015214384,0.7900552486187845,,0.1,149.837442,0
45,0110,mnist,42,False,True,True,False,0.1657142857142857,0.12586445366528354,0.10497237569060773,,0.1,172.928477,0
46,0110,mnist,43,False,True,True,False,0.08152173913043478,0.125,0.09550561797752809,,0.1,178.624268,0
47,0110,mnist,44,False,True,True,False,0.12429378531073447,0.1149584487534626,0.13812154696132597,,0.1,423.045133,0
48,0110,mnist,45,False,True,True,False,0.11956521739130435,0.1155433287482806,0.12637362637362637,,0.1,179.735878,0
49,0110,mnist,46,False,True,True,False,0.13043478260869565,0.11618257261410789,0.11049723756906077,,0.1,173.113606,0
50,0101,mnist,42,False,True,False,True,0.5485714285714286,0.8782849239280774,0.6022099447513812,,0.1,155.684987,0
51,0101,mnist,43,False,True,False,True,0.625,0.8848314606741573,0.6629213483146067,,0.1,159.605536,0
52,0101,mnist,44,False,True,False,True,0.5028248587570622,0.7576177285318559,0.5414364640883977,,0.1,162.169797,0
53,0101,mnist,45,False,True,False,True,0.4673913043478261,0.671251719394773,0.510989010989011,,0.1,152.254873,0
54,0101,mnist,46,False,True,False,True,0.5706521739130435,0.7842323651452282,0.585635359116022,,0.1,179.833036,0
55,0011,mnist,42,False,False,True,True,0.4114285714285714,0.7012448132780082,0.48066298342541436,,0.1,162.140447,0
56,0011,mnist,43,False,False,True,True,0.08152173913043478,0.125,0.09550561797752809,,0.1,178.576835,0
57,0011,mnist,44,False,False,True,True,0.12429378531073447,0.1149584487534626,0.13812154696132597,,0.1,331.123558,0
58,0011,mnist,45,False,False,True,True,0.11956521739130435,0.1155433287482806,0.12637362637362637,,0.1,239.234871,0
59,0011,mnist,46,False,False,True,True,0.13043478260869565,0.11618257261410789,0.11049723756906077,,0.1,183.728032,0
60,1000,mnist,42,True,False,False,False,0.7885714285714286,0.9183955739972337,0.7790055248618785,,0.1,201.447325,0
61,1000,mnist,43,True,False,False,False,0.8369565217391305,0.9044943820224719,0.7921348314606742,,0.1,158.278655,0
62,1000,mnist,44,True,False,False,False,0.8192090395480226,0.907202216066482,0.8121546961325967,,0.1,178.400147,0
63,1000,mnist,45,True,False,False,False,0.782608695652174,0.8995873452544704,0.7582417582417582,,0.1,157.211282,0
64,1000,mnist,46,True,False,False,False,0.7934782608695652,0.8934993084370678,0.7790055248618785,,0.1,161.602404,0
