cell_id,method,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_ratio,decay_rate,num_steps,check_sleep_interval,elapsed_s,returncode
21,sleep,mnist,43,0.7336956521739131,0.9087078651685393,0.7584269662921348,,0.1,,100,3500,149.537942,0
22,sleep,mnist,44,0.7740112994350282,0.9238227146814404,0.7790055248618785,,0.1,,100,3500,157.781228,0
23,sleep,mnist,45,0.7663043478260869,0.921595598349381,0.7692307692307693,,0.1,,100,3500,170.980056,0
24,sleep,mnist,46,0.7880434782608695,0.8948824343015215,0.7403314917127072,,0.1,,100,3500,209.23952,0
25,sleep,fmnist,42,0.6449704142011834,0.708507670850767,0.6444444444444445,,0.1,,100,3500,136.961603,0
26,sleep,fmnist,43,0.7257142857142858,0.7414030261348006,0.6428571428571429,,0.1,,100,3500,234.035702,0
27,sleep,fmnist,44,0.5888888888888889,0.6675862068965517,0.5769230769230769,,0.1,,100,3500,169.428026,0
28,sleep,fmnist,45,0.6684782608695652,0.6958333333333333,0.6353591160220995,,0.1,,100,3500,162.155846,0
29,sleep,fmnist,46,0.664804469273743,0.6740331491712708,0.6153846153846154,,0.1,,100,3500,161.265881,0
30,sleep,kmnist,42,0.592391304347826,0.7295081967213115,0.5380434782608695,,0.1,,100,3500,153.406359,0
31,sleep,kmnist,43,0.6306818181818182,0.7371349095966621,0.5944444444444444,,0.1,,100,3500,157.619869,0
32,sleep,kmnist,44,0.5824175824175825,0.7381615598885793,0.6333333333333333,,0.1,,100,3500,143.062941,0
33,sleep,kmnist,45,0.6559139784946236,0.7531734837799718,0.6460674157303371,,0.1,,100,3500,243.21089,0
34,sleep,kmnist,46,0.6229508196721312,0.7262569832402235,0.6111111111111112,,0.1,,100,3500,142.046364,0
35,sleep,notmnist,42,0.7032967032967034,0.8214285714285714,0.6721311475409836,,0.1,,100,3500,159.857209,0
36,sleep,notmnist,43,0.125,0.13098591549295774,0.08426966292134831,,0.1,,100,3500,152.539504,0
37,sleep,notmnist,44,0.7853107344632768,0.7972413793103448,0.7087912087912088,,0.1,,100,3500,191.643118,0
38,sleep,notmnist,45,0.7085714285714285,0.8310055865921788,0.6833333333333333,,0.1,,100,3500,176.976321,0
39,sleep,notmnist,46,0.6983240223463687,0.7334254143646409,0.6648351648351648,,0.1,,100,3500,171.303855,0
40,decay,mnist,42,0.7028571428571428,0.8210818307905686,0.7679558011049724,,0.0,1.6e-05,100,3500,312.566682,0
41,decay,mnist,43,0.7391304347826086,0.8169014084507042,0.7528089887640449,,0.0,1.6e-05,100,3500,325.058424,0
42,decay,mnist,44,0.7570621468926554,0.8178025034770514,0.7166666666666667,,0.0,1.6e-05,100,3500,486.6458,0
43,decay,mnist,45,0.7445652173913043,0.8011049723756906,0.7472527472527473,,0.0,1.6e-05,100,3500,384.607983,0
44,decay,mnist,46,0.7445652173913043,0.7739251040221914,0.7458563535911602,,0.0,1.6e-05,100,3500,353.040075,0
45,decay,fmnist,42,0.24260355029585798,0.25314685314685315,0.2122905027932961,,0.0,1.6e-05,100,3500,306.712491,0
46,decay,fmnist,43,0.1657142857142857,0.2524137931034483,0.19230769230769232,,0.0,1.6e-05,100,3500,325.396643,0
47,decay,fmnist,44,0.07777777777777778,0.11789181692094314,0.09944751381215469,,0.0,1.6e-05,100,3500,343.99923,0
48,decay,fmnist,45,0.09782608695652174,0.11731843575418995,0.07777777777777778,,0.0,1.6e-05,100,3500,318.293772,0
49,decay,fmnist,46,0.21787709497206703,0.22375690607734808,0.2265193370165746,,0.0,1.6e-05,100,3500,718.082951,0
